Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Power,Sample Size,π0,π1,Variance
1,Des1,Superiority,1,1-Sided,0.005,0.510280657633972,569,0.3,0.35,Under Null Hypothesis
2,Des2,Superiority,1,1-Sided,0.005,0.515718642336337,64,0.3,0.45,Under Null Hypothesis
3,Des3,Superiority,1,1-Sided,0.005,0.514883577530923,23,0.3,0.55,Under Null Hypothesis
4,Des4,Superiority,1,1-Sided,0.005,0.519441145435585,6,0.3,0.79,Under Null Hypothesis
5,Des5,Superiority,1,1-Sided,0.025,0.510767496152864,332,0.3,0.35,Under Null Hypothesis
6,Des6,Superiority,1,1-Sided,0.025,0.511422403326529,37,0.3,0.45,Under Null Hypothesis
7,Des7,Superiority,1,1-Sided,0.025,0.52983985508796,14,0.3,0.55,Under Null Hypothesis
8,Des8,Superiority,1,1-Sided,0.025,0.579614920830157,4,0.3,0.79,Under Null Hypothesis
9,Des9,Superiority,1,1-Sided,0.05,0.510636924950703,235,0.3,0.35,Under Null Hypothesis
10,Des10,Superiority,1,1-Sided,0.05,0.520564727810789,27,0.3,0.45,Under Null Hypothesis
11,Des11,Superiority,1,1-Sided,0.05,0.529485414201246,10,0.3,0.55,Under Null Hypothesis
12,Des12,Superiority,1,1-Sided,0.05,0.592153089682783,3,0.3,0.79,Under Null Hypothesis
13,Des13,Superiority,1,1-Sided,0.1,0.510637287786801,144,0.3,0.35,Under Null Hypothesis
14,Des14,Superiority,1,1-Sided,0.1,0.510198543835725,16,0.3,0.45,Under Null Hypothesis
15,Des15,Superiority,1,1-Sided,0.1,0.520112635003587,6,0.3,0.55,Under Null Hypothesis
16,Des16,Superiority,1,1-Sided,0.1,0.602363375861413,2,0.3,0.79,Under Null Hypothesis
17,Des17,Superiority,1,1-Sided,0.245,0.512814307181211,44,0.3,0.35,Under Null Hypothesis
18,Des18,Superiority,1,1-Sided,0.245,0.515289331534167,5,0.3,0.45,Under Null Hypothesis
19,Des19,Superiority,1,1-Sided,0.245,0.529814371776906,2,0.3,0.55,Under Null Hypothesis
20,Des20,Superiority,1,1-Sided,0.005,0.800063491144323,1001,0.3,0.35,Under Null Hypothesis
21,Des21,Superiority,1,1-Sided,0.005,0.801385494530698,114,0.3,0.45,Under Null Hypothesis
22,Des22,Superiority,1,1-Sided,0.005,0.800947716577818,41,0.3,0.55,Under Null Hypothesis
23,Des23,Superiority,1,1-Sided,0.005,0.817598023688875,10,0.3,0.79,Under Null Hypothesis
24,Des24,Superiority,1,1-Sided,0.025,0.800237002526438,676,0.3,0.35,Under Null Hypothesis
25,Des25,Superiority,1,1-Sided,0.025,0.804412879855177,78,0.3,0.45,Under Null Hypothesis
26,Des26,Superiority,1,1-Sided,0.025,0.803362676011515,28,0.3,0.55,Under Null Hypothesis
27,Des27,Superiority,1,1-Sided,0.025,0.835903546284768,7,0.3,0.79,Under Null Hypothesis
28,Des28,Superiority,1,1-Sided,0.05,0.800133583704263,534,0.3,0.35,Under Null Hypothesis
29,Des29,Superiority,1,1-Sided,0.05,0.804822783798928,62,0.3,0.45,Under Null Hypothesis
30,Des30,Superiority,1,1-Sided,0.05,0.80007654544912,22,0.3,0.55,Under Null Hypothesis
31,Des31,Superiority,1,1-Sided,0.05,0.86350010502433,6,0.3,0.79,Under Null Hypothesis
32,Des32,Superiority,1,1-Sided,0.1,0.8007276450542,392,0.3,0.35,Under Null Hypothesis
33,Des33,Superiority,1,1-Sided,0.1,0.800139872838794,45,0.3,0.45,Under Null Hypothesis
34,Des34,Superiority,1,1-Sided,0.1,0.813658752487178,17,0.3,0.55,Under Null Hypothesis
35,Des35,Superiority,1,1-Sided,0.1,0.832522670949347,4,0.3,0.79,Under Null Hypothesis
36,Des36,Superiority,1,1-Sided,0.245,0.800942339974897,207,0.3,0.35,Under Null Hypothesis
37,Des37,Superiority,1,1-Sided,0.245,0.808311491846337,25,0.3,0.45,Under Null Hypothesis
38,Des38,Superiority,1,1-Sided,0.245,0.808311491846337,9,0.3,0.55,Under Null Hypothesis
39,Des39,Superiority,1,1-Sided,0.245,0.822431010080043,2,0.3,0.79,Under Null Hypothesis
40,Des40,Superiority,1,1-Sided,0.005,0.900253799192403,1285,0.3,0.35,Under Null Hypothesis
41,Des41,Superiority,1,1-Sided,0.005,0.900245380292087,147,0.3,0.45,Under Null Hypothesis
42,Des42,Superiority,1,1-Sided,0.005,0.900728397166278,53,0.3,0.55,Under Null Hypothesis
43,Des43,Superiority,1,1-Sided,0.005,0.924997852508839,13,0.3,0.79,Under Null Hypothesis
44,Des44,Superiority,1,1-Sided,0.025,0.900197596570841,912,0.3,0.35,Under Null Hypothesis
45,Des45,Superiority,1,1-Sided,0.025,0.900461493353922,105,0.3,0.45,Under Null Hypothesis
46,Des46,Superiority,1,1-Sided,0.025,0.901881726280916,38,0.3,0.55,Under Null Hypothesis
47,Des47,Superiority,1,1-Sided,0.025,0.919829938271648,9,0.3,0.79,Under Null Hypothesis
48,Des48,Superiority,1,1-Sided,0.05,0.900228767361692,746,0.3,0.35,Under Null Hypothesis
49,Des49,Superiority,1,1-Sided,0.05,0.902715829744247,87,0.3,0.45,Under Null Hypothesis
50,Des50,Superiority,1,1-Sided,0.05,0.900215232873049,31,0.3,0.55,Under Null Hypothesis
51,Des51,Superiority,1,1-Sided,0.05,0.908617070524753,7,0.3,0.79,Under Null Hypothesis
52,Des52,Superiority,1,1-Sided,0.1,0.900152992813536,575,0.3,0.35,Under Null Hypothesis
53,Des53,Superiority,1,1-Sided,0.1,0.901039631707573,67,0.3,0.45,Under Null Hypothesis
54,Des54,Superiority,1,1-Sided,0.1,0.908588947371804,25,0.3,0.55,Under Null Hypothesis
55,Des55,Superiority,1,1-Sided,0.1,0.933828610201459,6,0.3,0.79,Under Null Hypothesis
56,Des56,Superiority,1,1-Sided,0.245,0.900407222117538,345,0.3,0.35,Under Null Hypothesis
57,Des57,Superiority,1,1-Sided,0.245,0.902296549061271,41,0.3,0.45,Under Null Hypothesis
58,Des58,Superiority,1,1-Sided,0.245,0.904966604907699,15,0.3,0.55,Under Null Hypothesis
59,Des59,Superiority,1,1-Sided,0.245,0.904399391658081,3,0.3,0.79,Under Null Hypothesis
60,Des60,Superiority,1,1-Sided,0.005,0.990011505277415,2098,0.3,0.35,Under Null Hypothesis
61,Des61,Superiority,1,1-Sided,0.005,0.990028457689908,243,0.3,0.45,Under Null Hypothesis
62,Des62,Superiority,1,1-Sided,0.005,0.990393324891098,88,0.3,0.55,Under Null Hypothesis
63,Des63,Superiority,1,1-Sided,0.005,0.990507075266516,19,0.3,0.79,Under Null Hypothesis
64,Des64,Superiority,1,1-Sided,0.025,0.990019150925038,1613,0.3,0.35,Under Null Hypothesis
65,Des65,Superiority,1,1-Sided,0.025,0.990063286497235,188,0.3,0.45,Under Null Hypothesis
66,Des66,Superiority,1,1-Sided,0.025,0.990319098632875,68,0.3,0.55,Under Null Hypothesis
67,Des67,Superiority,1,1-Sided,0.025,0.992939000389201,15,0.3,0.79,Under Null Hypothesis
68,Des68,Superiority,1,1-Sided,0.05,0.990005624044306,1389,0.3,0.35,Under Null Hypothesis
69,Des69,Superiority,1,1-Sided,0.05,0.990210284463889,163,0.3,0.45,Under Null Hypothesis
70,Des70,Superiority,1,1-Sided,0.05,0.990481178274068,59,0.3,0.55,Under Null Hypothesis
71,Des71,Superiority,1,1-Sided,0.05,0.993557748198892,13,0.3,0.79,Under Null Hypothesis
72,Des72,Superiority,1,1-Sided,0.1,0.990009961660241,1152,0.3,0.35,Under Null Hypothesis
73,Des73,Superiority,1,1-Sided,0.1,0.990247019189685,136,0.3,0.45,Under Null Hypothesis
74,Des74,Superiority,1,1-Sided,0.1,0.99028440366514,49,0.3,0.55,Under Null Hypothesis
75,Des75,Superiority,1,1-Sided,0.1,0.990922103811947,10,0.3,0.79,Under Null Hypothesis
76,Des76,Superiority,1,1-Sided,0.245,0.990033355323848,814,0.3,0.35,Under Null Hypothesis
77,Des77,Superiority,1,1-Sided,0.245,0.990193667642139,97,0.3,0.45,Under Null Hypothesis
78,Des78,Superiority,1,1-Sided,0.245,0.990282387423131,35,0.3,0.55,Under Null Hypothesis
79,Des79,Superiority,1,1-Sided,0.245,0.991941029868879,7,0.3,0.79,Under Null Hypothesis