Sr. No.,ID,Design Type,No. of Looks,Test Type,Specified α,Attained α,Power,nt/nc,Spacing of Looks,Efficacy Boundary,Futility Boundary,Sample Size,Expected SS (H0),Expected SS (H1),πc,Prop. Treatment (Alt.),Variance
1,Des1,Superiority,4,1-Sided,0.005,0.00319586163027104,0.510291361080571,1,Equal,LD (OF),LD (OF) (NB),1525,522.969882081736,1042.80875337188,0.1,0.15,Pooled Estimate
2,Des2,Superiority,4,1-Sided,0.005,0.00319748859186182,0.510201134219513,1,Equal,LD (OF),LD (OF) (NB),3059,1049.36236142124,2091.19475038501,0.3,0.35,Pooled Estimate
3,Des3,Superiority,4,1-Sided,0.005,0.00319710593712895,0.510080272130039,1,Equal,LD (OF),LD (OF) (NB),3477,1192.58882757023,2376.63216667037,0.5,0.55,Pooled Estimate
4,Des4,Superiority,4,1-Sided,0.005,0.00319639858170193,0.51020001818345,1,Equal,LD (OF),LD (OF) (NB),2013,690.374578459652,1376.26422423373,0.8,0.85,Pooled Estimate
5,Des5,Superiority,4,1-Sided,0.005,0.00319440142443775,0.51033165606297,1,Equal,LD (OF),LD (OF) (NB),967,331.568926628723,661.423120003296,0.9,0.95,Pooled Estimate
6,Des6,Superiority,4,1-Sided,0.025,0.0170981114076902,0.510262484347182,1,Equal,LD (OF),LD (OF) (NB),951,374.726675287072,625.857601402394,0.1,0.15,Pooled Estimate
7,Des7,Superiority,4,1-Sided,0.025,0.0171077419644093,0.510312611024639,1,Equal,LD (OF),LD (OF) (NB),1908,752.045191770136,1255.5328751013,0.3,0.35,Pooled Estimate
8,Des8,Superiority,4,1-Sided,0.025,0.0171038705568134,0.510026479162334,1,Equal,LD (OF),LD (OF) (NB),2168,854.326490360383,1426.23547651814,0.5,0.55,Pooled Estimate
9,Des9,Superiority,4,1-Sided,0.025,0.0170985596810876,0.510035794990424,1,Equal,LD (OF),LD (OF) (NB),1255,494.484888087518,825.68642351208,0.8,0.85,Pooled Estimate
10,Des10,Superiority,4,1-Sided,0.025,0.0170864779583614,0.510197943384849,1,Equal,LD (OF),LD (OF) (NB),603,237.491993994279,396.902347654663,0.9,0.95,Pooled Estimate
11,Des11,Superiority,4,1-Sided,0.05,0.0355497272420562,0.51012304136516,1,Equal,LD (OF),LD (OF) (NB),707,301.236170656235,453.851440630787,0.1,0.15,Pooled Estimate
12,Des12,Superiority,4,1-Sided,0.05,0.0355600952517537,0.509978696046885,1,Equal,LD (OF),LD (OF) (NB),1418,604.276439746751,910.039172714878,0.3,0.35,Pooled Estimate
13,Des13,Superiority,4,1-Sided,0.05,0.0355672723596458,0.510042553926282,1,Equal,LD (OF),LD (OF) (NB),1612,687.032129893374,1034.5908550803,0.5,0.55,Pooled Estimate
14,Des14,Superiority,4,1-Sided,0.05,0.0355640977029042,0.510447893703512,1,Equal,LD (OF),LD (OF) (NB),934,398.108974912184,599.71935326163,0.8,0.85,Pooled Estimate
15,Des15,Superiority,4,1-Sided,0.05,0.0355467858920614,0.510824858375507,1,Equal,LD (OF),LD (OF) (NB),449,191.372394315804,288.504630673778,0.9,0.95,Pooled Estimate
16,Des16,Superiority,4,1-Sided,0.1,0.0746078631876796,0.51030592865199,1,Equal,LD (OF),LD (OF) (NB),468,217.754422047852,290.373919727647,0.1,0.15,Pooled Estimate
17,Des17,Superiority,4,1-Sided,0.1,0.074661563320979,0.510452371557796,1,Equal,LD (OF),LD (OF) (NB),939,437.230799272296,582.4819793551,0.3,0.35,Pooled Estimate
18,Des18,Superiority,4,1-Sided,0.1,0.0746557862753879,0.510288294774755,1,Equal,LD (OF),LD (OF) (NB),1067,496.778683872511,661.783309162126,0.5,0.55,Pooled Estimate
19,Des19,Superiority,4,1-Sided,0.1,0.0746231749331679,0.510390382388874,1,Equal,LD (OF),LD (OF) (NB),618,287.631984458956,383.397467658717,0.8,0.85,Pooled Estimate
20,Des20,Superiority,4,1-Sided,0.1,0.0745731433559956,0.510502327730969,1,Equal,LD (OF),LD (OF) (NB),297,138.203466779573,184.37824282344,0.9,0.95,Pooled Estimate
21,Des21,Superiority,4,1-Sided,0.245,0.198680345679058,0.510756782718806,1,Equal,LD (OF),LD (OF) (NB),177,91.5050527152637,101.89545581036,0.1,0.15,Pooled Estimate
22,Des22,Superiority,4,1-Sided,0.245,0.19865099866379,0.51006083256307,1,Equal,LD (OF),LD (OF) (NB),354,182.809699750866,203.415204243715,0.3,0.35,Pooled Estimate
23,Des23,Superiority,4,1-Sided,0.245,0.198760808796561,0.510522391594143,1,Equal,LD (OF),LD (OF) (NB),403,208.251655322068,231.670566383519,0.5,0.55,Pooled Estimate
24,Des24,Superiority,4,1-Sided,0.245,0.198647466377712,0.510146296302562,1,Equal,LD (OF),LD (OF) (NB),233,120.398973663075,134.029956477832,0.8,0.85,Pooled Estimate
25,Des25,Superiority,4,1-Sided,0.245,0.198758782186275,0.512209937950417,1,Equal,LD (OF),LD (OF) (NB),113,58.4850116994661,65.1721180573866,0.9,0.95,Pooled Estimate
26,Des26,Superiority,4,1-Sided,0.005,0.00414389987867309,0.800180178293542,1,Equal,LD (OF),LD (OF) (NB),2258,1052.18489427641,1778.96285068434,0.1,0.15,Pooled Estimate
27,Des27,Superiority,4,1-Sided,0.005,0.00414567357813412,0.800046590036232,1,Equal,LD (OF),LD (OF) (NB),4531,2112.90232774542,3568.63667277408,0.3,0.35,Pooled Estimate
28,Des28,Superiority,4,1-Sided,0.005,0.00414584364104475,0.800036831813447,1,Equal,LD (OF),LD (OF) (NB),5151,2402.1859338631,4056.81996307385,0.5,0.55,Pooled Estimate
29,Des29,Superiority,4,1-Sided,0.005,0.0041446155751235,0.800070422233566,1,Equal,LD (OF),LD (OF) (NB),2981,1389.9263987452,2348.16802582756,0.8,0.85,Pooled Estimate
30,Des30,Superiority,4,1-Sided,0.005,0.00414261178039865,0.80022419637567,1,Equal,LD (OF),LD (OF) (NB),1431,666.485164451467,1127.72214320436,0.9,0.95,Pooled Estimate
31,Des31,Superiority,4,1-Sided,0.025,0.0213998507925148,0.800237054041051,1,Equal,LD (OF),LD (OF) (NB),1557,825.952390816119,1164.63628308024,0.1,0.15,Pooled Estimate
32,Des32,Superiority,4,1-Sided,0.025,0.0214064930902815,0.800024239954183,1,Equal,LD (OF),LD (OF) (NB),3124,1657.46538158685,2336.19132242939,0.3,0.35,Pooled Estimate
33,Des33,Superiority,4,1-Sided,0.025,0.0214082768611036,0.800083312176185,1,Equal,LD (OF),LD (OF) (NB),3552,1884.80231544063,2656.15998930122,0.5,0.55,Pooled Estimate
34,Des34,Superiority,4,1-Sided,0.025,0.0214025359429886,0.800011837561459,1,Equal,LD (OF),LD (OF) (NB),2055,1089.91203698977,1536.90523262968,0.8,0.85,Pooled Estimate
35,Des35,Superiority,4,1-Sided,0.025,0.0213952424188798,0.800454380959756,1,Equal,LD (OF),LD (OF) (NB),987,523.179837629941,738.481864832329,0.9,0.95,Pooled Estimate
36,Des36,Superiority,4,1-Sided,0.05,0.0435907691593267,0.800310478772494,1,Equal,LD (OF),LD (OF) (NB),1249,707.920369798783,903.881684656258,0.1,0.15,Pooled Estimate
37,Des37,Superiority,4,1-Sided,0.05,0.0436017237047879,0.80008141906547,1,Equal,LD (OF),LD (OF) (NB),2506,1420.44836631904,1813.07122902152,0.3,0.35,Pooled Estimate
38,Des38,Superiority,4,1-Sided,0.05,0.0436048449260864,0.80008948379501,1,Equal,LD (OF),LD (OF) (NB),2849,1615.30964959937,2061.12674486755,0.5,0.55,Pooled Estimate
39,Des39,Superiority,4,1-Sided,0.05,0.0435968501297972,0.800214879385863,1,Equal,LD (OF),LD (OF) (NB),1649,934.767615170088,1193.19290224323,0.8,0.85,Pooled Estimate
40,Des40,Superiority,4,1-Sided,0.05,0.0435718294948862,0.80012296453142,1,Equal,LD (OF),LD (OF) (NB),791,447.807180182333,572.57718172451,0.9,0.95,Pooled Estimate
41,Des41,Superiority,4,1-Sided,0.1,0.0891276028448191,0.800157764500416,1,Equal,LD (OF),LD (OF) (NB),935,567.385014276049,646.253007134383,0.1,0.15,Pooled Estimate
42,Des42,Superiority,4,1-Sided,0.1,0.0891516952620543,0.800113389792445,1,Equal,LD (OF),LD (OF) (NB),1877,1139.82823149917,1297.09579632388,0.3,0.35,Pooled Estimate
43,Des43,Superiority,4,1-Sided,0.1,0.0891543424359081,0.800120966234857,1,Equal,LD (OF),LD (OF) (NB),2134,1295.75744879396,1474.58396289657,0.5,0.55,Pooled Estimate
44,Des44,Superiority,4,1-Sided,0.1,0.0891446848055724,0.800225335803976,1,Equal,LD (OF),LD (OF) (NB),1235,749.700531295947,853.49197256152,0.8,0.85,Pooled Estimate
45,Des45,Superiority,4,1-Sided,0.1,0.089096205510054,0.80047652126173,1,Equal,LD (OF),LD (OF) (NB),593,359.854870713072,410.070184193294,0.9,0.95,Pooled Estimate
46,Des46,Superiority,4,1-Sided,0.245,0.226498629687197,0.800466927183542,1,Equal,LD (OF),LD (OF) (NB),520,336.428987462422,324.404057548925,0.1,0.15,Pooled Estimate
47,Des47,Superiority,4,1-Sided,0.245,0.226545107600628,0.800194027186446,1,Equal,LD (OF),LD (OF) (NB),1043,674.955927770427,650.431385937264,0.3,0.35,Pooled Estimate
48,Des48,Superiority,4,1-Sided,0.245,0.226531804448212,0.800010466808225,1,Equal,LD (OF),LD (OF) (NB),1185,766.932895596674,739.131219710535,0.5,0.55,Pooled Estimate
49,Des49,Superiority,4,1-Sided,0.245,0.226490709354507,0.80013768700201,1,Equal,LD (OF),LD (OF) (NB),686,443.748790730071,427.824915714096,0.8,0.85,Pooled Estimate
50,Des50,Superiority,4,1-Sided,0.245,0.226381725898931,0.800086025450158,1,Equal,LD (OF),LD (OF) (NB),329,212.73254451306,205.433733151434,0.9,0.95,Pooled Estimate
51,Des51,Superiority,4,1-Sided,0.005,0.00445605387439461,0.90000870023378,1,Equal,LD (OF),LD (OF) (NB),2766,1464.57908819261,2147.04036788668,0.1,0.15,Pooled Estimate
52,Des52,Superiority,4,1-Sided,0.005,0.00445775491540254,0.900009851903189,1,Equal,LD (OF),LD (OF) (NB),5553,2942.725356325,4308.72783994484,0.3,0.35,Pooled Estimate
53,Des53,Superiority,4,1-Sided,0.005,0.0044579215303523,0.900003802677693,1,Equal,LD (OF),LD (OF) (NB),6313,3345.65979284342,4898.25961872074,0.5,0.55,Pooled Estimate
54,Des54,Superiority,4,1-Sided,0.005,0.00445704019911438,0.900036073248653,1,Equal,LD (OF),LD (OF) (NB),3653,1935.39160721657,2834.89898303098,0.8,0.85,Pooled Estimate
55,Des55,Superiority,4,1-Sided,0.005,0.00445475973478802,0.900120098468863,1,Equal,LD (OF),LD (OF) (NB),1753,928.055017374605,1361.06976627028,0.9,0.95,Pooled Estimate
56,Des56,Superiority,4,1-Sided,0.025,0.0227438727931363,0.900137325283,1,Equal,LD (OF),LD (OF) (NB),1988,1178.80775168166,1452.1130678498,0.1,0.15,Pooled Estimate
57,Des57,Superiority,4,1-Sided,0.025,0.0227502340875505,0.900082925500367,1,Equal,LD (OF),LD (OF) (NB),3991,2367.60189432815,2914.08185092833,0.3,0.35,Pooled Estimate
58,Des58,Superiority,4,1-Sided,0.025,0.0227498630715193,0.900048936186133,1,Equal,LD (OF),LD (OF) (NB),4537,2691.77528955171,3312.73767477631,0.5,0.55,Pooled Estimate
59,Des59,Superiority,4,1-Sided,0.025,0.0227454544977397,0.900061534803911,1,Equal,LD (OF),LD (OF) (NB),2625,1556.93165739549,1917.06267645,0.8,0.85,Pooled Estimate
60,Des60,Superiority,4,1-Sided,0.025,0.0227358068615123,0.900046496429719,1,Equal,LD (OF),LD (OF) (NB),1259,745.923456987734,919.920570334164,0.9,0.95,Pooled Estimate
61,Des61,Superiority,4,1-Sided,0.05,0.0460136254591317,0.900151673210514,1,Equal,LD (OF),LD (OF) (NB),1641,1030.57826503322,1153.59683943343,0.1,0.15,Pooled Estimate
62,Des62,Superiority,4,1-Sided,0.05,0.0460239549049577,0.900046664210696,1,Equal,LD (OF),LD (OF) (NB),3294,2069.29146754417,2314.99462166989,0.3,0.35,Pooled Estimate
63,Des63,Superiority,4,1-Sided,0.05,0.0460263907781141,0.900051901359922,1,Equal,LD (OF),LD (OF) (NB),3745,2352.93893858965,2631.8026040333,0.5,0.55,Pooled Estimate
64,Des64,Superiority,4,1-Sided,0.05,0.0460217654729918,0.900122249567345,1,Equal,LD (OF),LD (OF) (NB),2167,1361.03583539855,1523.06235466041,0.8,0.85,Pooled Estimate
65,Des65,Superiority,4,1-Sided,0.05,0.0459997818934359,0.900039850972637,1,Equal,LD (OF),LD (OF) (NB),1039,651.912567572878,730.676334623076,0.9,0.95,Pooled Estimate
66,Des66,Superiority,4,1-Sided,0.1,0.0933144762505425,0.900122722963886,1,Equal,LD (OF),LD (OF) (NB),1283,853.747511013972,855.128385643769,0.1,0.15,Pooled Estimate
67,Des67,Superiority,4,1-Sided,0.1,0.0933325955157186,0.900059453320872,1,Equal,LD (OF),LD (OF) (NB),2576,1715.05025483825,1716.49979779863,0.3,0.35,Pooled Estimate
68,Des68,Superiority,4,1-Sided,0.1,0.0933347497387964,0.900078018395265,1,Equal,LD (OF),LD (OF) (NB),2929,1950.25161692911,1951.63111747881,0.5,0.55,Pooled Estimate
69,Des69,Superiority,4,1-Sided,0.1,0.093313962282375,0.900011159225721,1,Equal,LD (OF),LD (OF) (NB),1694,1127.43310001936,1128.99537873083,0.8,0.85,Pooled Estimate
70,Des70,Superiority,4,1-Sided,0.1,0.0932838528242542,0.900220634789814,1,Equal,LD (OF),LD (OF) (NB),813,540.825441782311,542.156578689585,0.9,0.95,Pooled Estimate
71,Des71,Superiority,4,1-Sided,0.245,0.233836135421478,0.900055450060637,1,Equal,LD (OF),LD (OF) (NB),796,554.586290441951,470.670927528071,0.1,0.15,Pooled Estimate
72,Des72,Superiority,4,1-Sided,0.245,0.233885788849408,0.900071291996362,1,Equal,LD (OF),LD (OF) (NB),1599,1114.47501706124,945.026157122056,0.3,0.35,Pooled Estimate
73,Des73,Superiority,4,1-Sided,0.245,0.233882136286476,0.900060724655257,1,Equal,LD (OF),LD (OF) (NB),1818,1267.21343924097,1074.34519335729,0.5,0.55,Pooled Estimate
74,Des74,Superiority,4,1-Sided,0.245,0.233865790266841,0.900156601120735,1,Equal,LD (OF),LD (OF) (NB),1052,733.163051458744,621.85566383062,0.8,0.85,Pooled Estimate
75,Des75,Superiority,4,1-Sided,0.245,0.23378195695711,0.900038716584048,1,Equal,LD (OF),LD (OF) (NB),504,350.960414370063,298.162030633375,0.9,0.95,Pooled Estimate
76,Des76,Superiority,4,1-Sided,0.005,0.00483898813845896,0.98999990405807,1,Equal,LD (OF),LD (OF) (NB),4286,2717.75680170601,2915.42854214941,0.1,0.15,Pooled Estimate
77,Des77,Superiority,4,1-Sided,0.005,0.00483990552500125,0.990000606740188,1,Equal,LD (OF),LD (OF) (NB),8608,5460.91996294174,5852.31811428064,0.3,0.35,Pooled Estimate
78,Des78,Superiority,4,1-Sided,0.005,0.00484004263912238,0.990002690749057,1,Equal,LD (OF),LD (OF) (NB),9787,6209.13387180669,6653.19327643644,0.5,0.55,Pooled Estimate
79,Des79,Superiority,4,1-Sided,0.005,0.00483947531488271,0.990009916362346,1,Equal,LD (OF),LD (OF) (NB),5662,3591.29800911861,3850.27834164386,0.8,0.85,Pooled Estimate
80,Des80,Superiority,4,1-Sided,0.005,0.00483845350596821,0.990018329668864,1,Equal,LD (OF),LD (OF) (NB),2715,1720.5132483689,1847.31573353352,0.9,0.95,Pooled Estimate
81,Des81,Superiority,4,1-Sided,0.025,0.0243438006892584,0.990014148134057,1,Equal,LD (OF),LD (OF) (NB),3309,2307.12261394855,2080.59317868451,0.1,0.15,Pooled Estimate
82,Des82,Superiority,4,1-Sided,0.025,0.0243469192304532,0.990006028185578,1,Equal,LD (OF),LD (OF) (NB),6646,4636.0319504137,4177.05327183911,0.3,0.35,Pooled Estimate
83,Des83,Superiority,4,1-Sided,0.025,0.0243476087945998,0.99000500322113,1,Equal,LD (OF),LD (OF) (NB),7556,5271.00483569458,4748.72436586286,0.5,0.55,Pooled Estimate
84,Des84,Superiority,4,1-Sided,0.025,0.0243448017834979,0.989999277678756,1,Equal,LD (OF),LD (OF) (NB),4370,3047.5667663229,2747.3513436757,0.8,0.85,Pooled Estimate
85,Des85,Superiority,4,1-Sided,0.025,0.0243406036649804,0.990009852340221,1,Equal,LD (OF),LD (OF) (NB),2095,1459.74332924082,1317.86734386627,0.9,0.95,Pooled Estimate
86,Des86,Superiority,4,1-Sided,0.05,0.0488517866220808,0.990009362505971,1,Equal,LD (OF),LD (OF) (NB),2862,2088.74605913538,1714.03031686005,0.1,0.15,Pooled Estimate
87,Des87,Superiority,4,1-Sided,0.05,0.0488586099778456,0.990005037530953,1,Equal,LD (OF),LD (OF) (NB),5749,4197.29579907309,3441.65357439703,0.3,0.35,Pooled Estimate
88,Des88,Superiority,4,1-Sided,0.05,0.0488594724480008,0.990001760845009,1,Equal,LD (OF),LD (OF) (NB),6536,4772.19051421649,3912.52494628832,0.5,0.55,Pooled Estimate
89,Des89,Superiority,4,1-Sided,0.05,0.0488557651156146,0.990013606479077,1,Equal,LD (OF),LD (OF) (NB),3781,2759.90932386649,2263.98618595138,0.8,0.85,Pooled Estimate
90,Des90,Superiority,4,1-Sided,0.05,0.0488460984253855,0.990011604586599,1,Equal,LD (OF),LD (OF) (NB),1812,1321.74577861658,1085.81066841002,0.9,0.95,Pooled Estimate
91,Des91,Superiority,4,1-Sided,0.1,0.0980996234880552,0.990017551532912,1,Equal,LD (OF),LD (OF) (NB),2392,1821.79321944152,1335.55395967304,0.1,0.15,Pooled Estimate
92,Des92,Superiority,4,1-Sided,0.1,0.0981087028375039,0.990006939302287,1,Equal,LD (OF),LD (OF) (NB),4805,3660.7921069194,2681.78821621357,0.3,0.35,Pooled Estimate
93,Des93,Superiority,4,1-Sided,0.1,0.0981109758502787,0.990005684552946,1,Equal,LD (OF),LD (OF) (NB),5463,4162.27040428438,3048.59944414927,0.5,0.55,Pooled Estimate
94,Des94,Superiority,4,1-Sided,0.1,0.0981041355513169,0.990000677535623,1,Equal,LD (OF),LD (OF) (NB),3159,2406.12944348182,1763.5085861536,0.8,0.85,Pooled Estimate
