 ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80
Test Significance Level, ??;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2;0,01;0,05;0,1;0,2
1 or 2 Sided Test??;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two;Two
Length of Accrual Period, a?;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Maximum Length of Followup, f?;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Group 1 Exponential Parameter, ???;0,076752836;0,076752836;0,076752836;0,076752836;0,040132427;0,040132427;0,040132427;0,040132427;0,017027521;0,017027521;0,017027521;0,017027521;0,003512017;0,003512017;0,003512017;0,003512017;0,383764182;0,383764182;0,383764182;0,383764182;0,200662134;0,200662134;0,200662134;0,200662134;0,085137604;0,085137604;0,085137604;0,085137604;0,017560086;0,017560086;0,017560086;0,017560086;0,537269855;0,537269855;0,537269855;0,537269855;0,280926988;0,280926988;0,280926988;0,280926988;0,119192646;0,119192646;0,119192646;0,119192646;0,02458412;0,02458412;0,02458412;0,02458412;0,690775528;0,690775528;0,690775528;0,690775528;0,361191841;0,361191841;0,361191841;0,361191841;0,153247687;0,153247687;0,153247687;0,153247687;0,031608155;0,031608155;0,031608155;0,031608155;0,75985308;0,75985308;0,75985308;0,75985308;0,397311025;0,397311025;0,397311025;0,397311025;0,168572456;0,168572456;0,168572456;0,168572456;0,03476897;0,03476897;0,03476897;0,03476897;0,076752836;0,076752836;0,076752836;0,076752836;0,040132427;0,040132427;0,040132427;0,040132427;0,017027521;0,017027521;0,017027521;0,017027521;0,003512017;0,003512017;0,003512017;0,003512017;0,383764182;0,383764182;0,383764182;0,383764182;0,200662134;0,200662134;0,200662134;0,200662134;0,085137604;0,085137604;0,085137604;0,085137604;0,017560086;0,017560086;0,017560086;0,017560086;0,537269855;0,537269855;0,537269855;0,537269855;0,280926988;0,280926988;0,280926988;0,280926988;0,119192646;0,119192646;0,119192646;0,119192646;0,02458412;0,02458412;0,02458412;0,02458412;0,690775528;0,690775528;0,690775528;0,690775528;0,361191841;0,361191841;0,361191841;0,361191841;0,153247687;0,153247687;0,153247687;0,153247687;0,031608155;0,031608155;0,031608155;0,031608155;0,75985308;0,75985308;0,75985308;0,75985308;0,397311025;0,397311025;0,397311025;0,397311025;0,168572456;0,168572456;0,168572456;0,168572456;0,03476897;0,03476897;0,03476897;0,03476897;0,076752836;0,076752836;0,076752836;0,076752836;0,040132427;0,040132427;0,040132427;0,040132427;0,017027521;0,017027521;0,017027521;0,017027521;0,003512017;0,003512017;0,003512017;0,003512017;0,383764182;0,383764182;0,383764182;0,383764182;0,200662134;0,200662134;0,200662134;0,200662134;0,085137604;0,085137604;0,085137604;0,085137604;0,017560086;0,017560086;0,017560086;0,017560086;0,537269855;0,537269855;0,537269855;0,537269855;0,280926988;0,280926988;0,280926988;0,280926988;0,119192646;0,119192646;0,119192646;0,119192646;0,02458412;0,02458412;0,02458412;0,02458412;0,690775528;0,690775528;0,690775528;0,690775528;0,361191841;0,361191841;0,361191841;0,361191841;0,153247687;0,153247687;0,153247687;0,153247687;0,031608155;0,031608155;0,031608155;0,031608155;0,75985308;0,75985308;0,75985308;0,75985308;0,397311025;0,397311025;0,397311025;0,397311025;0,168572456;0,168572456;0,168572456;0,168572456;0,03476897;0,03476897;0,03476897;0,03476897;0,076752836;0,076752836;0,076752836;0,076752836;0,040132427;0,040132427;0,040132427;0,040132427;0,017027521;0,017027521;0,017027521;0,017027521;0,003512017;0,003512017;0,003512017;0,003512017;0,383764182;0,383764182;0,383764182;0,383764182;0,200662134;0,200662134;0,200662134;0,200662134;0,085137604;0,085137604;0,085137604;0,085137604;0,017560086;0,017560086;0,017560086;0,017560086;0,537269855;0,537269855;0,537269855;0,537269855;0,280926988;0,280926988;0,280926988;0,280926988;0,119192646;0,119192646;0,119192646;0,119192646;0,02458412;0,02458412;0,02458412;0,02458412;0,690775528;0,690775528;0,690775528;0,690775528;0,361191841;0,361191841;0,361191841;0,361191841;0,153247687;0,153247687;0,153247687;0,153247687;0,031608155;0,031608155;0,031608155;0,031608155;0,75985308;0,75985308;0,75985308;0,75985308;0,397311025;0,397311025;0,397311025;0,397311025;0,168572456;0,168572456;0,168572456;0,168572456;0,03476897;0,03476897;0,03476897;0,03476897
Group 2 Exponential Parameter, ???;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172;0,767528364;0,767528364;0,767528364;0,767528364;0,401324268;0,401324268;0,401324268;0,401324268;0,170275208;0,170275208;0,170275208;0,170275208;0,035120172;0,035120172;0,035120172;0,035120172
Hazard Ratio, h=??/???;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99;0,99
Power (%)?;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99
Sample Size per Group, n?;6;4;3;2;10;6;4;3;20;12;9;5;91;53;38;23;32;19;14;9;41;24;17;11;72;42;30;18;283;165;117;72;115;67;48;29;140;82;58;36;230;134;95;58;874;509;361;221;1278;745;527;323;1507;878;621;381;2384;1389;983;602;8788;5119;3623;2218;139478;81245;57498;35202;162533;94674;67002;41020;253481;147650;104494;63973;923001;537640;380495;232946;10;7;6;4;17;11;9;7;35;23;19;14;156;105;83;61;56;38;30;22;71;48;38;28;123;83;65;48;488;328;258;189;198;133;105;77;241;162;128;93;396;267;210;153;1508;1014;799;583;2206;1483;1168;852;2601;1748;1377;1004;4115;2766;2179;1589;15172;10196;8032;5856;240804;161833;127476;92946;280608;188583;148547;108310;437625;294107;231668;168915;1593529;1070935;843575;615073;13;9;8;6;21;15;12;10;44;31;25;20;199;141;115;88;71;50;41;32;91;64;52;40;157;111;90;70;621;439;358;275;252;178;145;112;307;217;177;136;505;357;291;223;1922;1357;1106;849;2811;1985;1618;1241;3314;2340;1907;1463;5243;3703;3018;2315;19329;13650;11125;8534;306792;216648;176575;135454;357503;252459;205762;157844;557549;393726;320898;246167;2030208;1433679;1168489;896371;21;16;14;12;34;26;22;18;71;54;46;38;321;245;211;174;114;87;75;62;146;112;96;79;253;193;166;137;1003;767;658;543;407;311;267;221;496;379;325;269;815;623;535;442;3103;2373;2037;1681;4540;3471;2979;2459;5351;4091;3512;2899;8468;6474;5557;4587;31217;23867;20486;16910;495492;378814;325164;268391;577395;441431;378912;312755;900483;688438;590937;487760;3278940;2506820;2151788;1776088
Total Number of Events Required, E?;5;3;2;1;5;3;2;1;5;3;2;1;5;3;2;1;56;33;23;14;56;33;23;14;56;33;23;14;56;33;23;14;213;124;88;54;213;124;88;54;213;124;88;54;213;124;88;54;2438;1420;1005;615;2438;1420;1005;615;2438;1420;1005;615;2438;1420;1005;615;267883;156039;110431;67608;267883;156039;110431;67608;267883;156039;110431;67608;267883;156039;110431;67608;9;6;5;3;9;6;5;3;9;6;5;3;9;6;5;3;97;65;51;38;97;65;51;38;97;65;51;38;97;65;51;38;367;247;194;142;367;247;194;142;367;247;194;142;367;247;194;142;4208;2828;2228;1624;4208;2828;2228;1624;4208;2828;2228;1624;4208;2828;2228;1624;462491;310818;244831;178513;462491;310818;244831;178513;462491;310818;244831;178513;462491;310818;244831;178513;11;8;6;5;11;8;6;5;11;8;6;5;11;8;6;5;124;87;71;55;124;87;71;55;124;87;71;55;124;87;71;55;468;330;269;207;468;330;269;207;468;330;269;207;468;330;269;207;5362;3786;3086;2367;5362;3786;3086;2367;5362;3786;3086;2367;5362;3786;3086;2367;589229;416097;339131;260154;589229;416097;339131;260154;589229;416097;339131;260154;589229;416097;339131;260154;18;14;12;10;18;14;12;10;18;14;12;10;18;14;12;10;200;153;131;108;200;153;131;108;200;153;131;108;200;153;131;108;756;578;496;409;756;578;496;409;756;578;496;409;756;578;496;409;8659;6620;5683;4690;8659;6620;5683;4690;8659;6620;5683;4690;8659;6620;5683;4690;951649;727556;624515;515475;951649;727556;624515;515475;951649;727556;624515;515475;951649;727556;624515;515475
